지점,지점명,일시,평균기온(°C),평균상대습도(%),월합강수량(00~24h만)(mm),평균풍속(m/s),평균운량(1/10),평균지면온도(°C)
90,속초,Jun-25,22.8,69,30.2,2.1,5.8,25.5
90,속초,Jul-25,26.7,77,148.6,1.9,5.5,30.3
90,속초,Aug-25,27.3,77,97.4,1.9,5.7,29.9
90,속초,Sep-25,22.2,78,379.1,2,6.2,24.9
90,속초,Oct-25,15.4,82,460.9,2.1,7.5,16.3
90,속초,Nov-25,10.3,49,30.3,2.5,2.2,8.1
90,속초,Dec-25,4,44,10.8,2.7,3.2,1.6
90,속초,Jan-26,-0.6,33,3.2,3.2,2.3,-1.9
90,속초,Feb-26,4.6,43,16.9,2.8,3.1,2.7
90,속초,Mar-26,6.5,68,88.6,2.2,4.5,7.7
90,속초,Apr-26,13.3,62,32.1,2.7,4.1,15.9
90,속초,May-26,,,30.1,,,
93,북춘천,May-22,17.2,60,8.1,1.7,4.3,22.7
93,북춘천,Jun-22,21.9,78,386.5,1.3,7,24.8
93,북춘천,Jul-22,26,85,223.8,1,7.1,29.8
93,북춘천,Aug-22,24.5,88,418.4,1,7.6,27.3
93,북춘천,Sep-22,19.8,80,239,1.1,6,23.4
93,북춘천,Oct-22,11.8,81,116.1,1,5.3,14
93,북춘천,Nov-22,6.5,77,64,0.9,4.4,7.5
93,북춘천,Dec-22,-6.1,70,10.7,1,3.8,-2.5
93,북춘천,Jan-23,-5.2,75,43.8,0.8,4.4,-2.6
93,북춘천,Feb-23,-0.5,68,1.1,1,3.4,0.4
93,북춘천,Mar-23,7.4,57,8.4,1.3,3.3,8.9
93,북춘천,Apr-23,12.1,65,95.7,1.6,5.5,14.4
93,북춘천,May-23,17.7,69,112.4,1.4,5.3,22
93,북춘천,Jun-23,22.4,77,280.7,1.3,5.8,26.9
93,북춘천,Jul-23,26,85,318.1,1.1,6.9,29
93,북춘천,Aug-23,26.1,83,203.6,1.1,6.8,30.1
93,북춘천,Sep-23,21.8,84,119.5,0.9,6.7,25.3
93,북춘천,Oct-23,12.3,82,25.9,0.8,5.2,14.9
93,북춘천,Nov-23,4.6,71,80.3,1.3,4.2,5.4
93,북춘천,Dec-23,-1.6,72,77.3,1.1,4.8,-0.8
93,북춘천,Jan-24,-2.8,66,8.9,1.1,3.9,-1.6
93,북춘천,Feb-24,1.8,69,45,1.1,6.7,2.5
93,북춘천,Mar-24,4.9,55,40.9,1.5,4.5,6.5
93,북춘천,Apr-24,14.7,60,27.6,1.4,4.7,17.1
93,북춘천,May-24,17.2,69,126.9,1.4,4.3,21.3
93,북춘천,Jun-24,23.3,69,124.5,1.3,4.4,30.1
93,북춘천,Jul-24,25.9,86,411.1,1.4,7.9,28.2
93,북춘천,Aug-24,28,80,92.7,1.1,4.9,32.8
93,북춘천,Sep-24,23.2,81,184.9,1,6,26.6
93,북춘천,Oct-24,14,82,68.5,0.9,5.8,16.6
93,북춘천,Nov-24,7.1,75,27.7,1,4.2,8.2
93,북춘천,Dec-24,-2.4,63,3.6,1,3,-1.7
93,북춘천,Jan-25,-4.4,69,16.6,1,4,-2
93,북춘천,Feb-25,-3.7,54,1.5,1.5,1.9,-1.5
93,북춘천,Mar-25,5.8,58,26.2,1.6,4.8,6.6
93,북춘천,Apr-25,12.2,60,94.1,1.6,4.3,15
93,북춘천,May-25,16.3,70,69.3,1.3,5.7,19.8
93,북춘천,Jun-25,23.1,72,123.9,1.3,6.1,28
93,북춘천,Jul-25,27.1,79,288.5,1.1,5.8,31.6
93,북춘천,Aug-25,26.7,84,238.9,1,6.6,30.4
93,북춘천,Sep-25,21.5,85,305.5,0.8,6.7,23.9
93,북춘천,Oct-25,15,82,144.8,0.9,7,16.5
93,북춘천,Nov-25,5.7,70,20.6,1,3.4,6.5
93,북춘천,Dec-25,-1.7,72,30.2,0.9,4.7,-0.7
93,북춘천,Jan-26,-6.5,60,15.6,1.1,2.8,-4
93,북춘천,Feb-26,-0.3,63,2.8,1.2,3.4,0.1
93,북춘천,Mar-26,6,62,33.5,1.2,4.2,7.6
93,북춘천,Apr-26,13.2,59,48,1.4,4.7,16.3
93,북춘천,May-26,,,22.9,,,
95,철원,May-22,16.7,67,14.5,1.6,4.4,23.4
95,철원,Jun-22,21.2,86,437.2,1.8,6.7,25.1
95,철원,Jul-22,25.2,85,247.6,1.1,6.6,28.2
95,철원,Aug-22,24,87,420.4,1.2,6.8,26.5
95,철원,Sep-22,19.4,78,257.4,1.4,5.3,21.1
95,철원,Oct-22,11.4,80,162.1,1,5,14.1
95,철원,Nov-22,6.6,77,85.2,0.9,4.4,8.3
95,철원,Dec-22,-6.8,70,8.1,0.9,4.9,-0.3
95,철원,Jan-23,-5.8,75,42.2,0.9,5.1,-1.2
95,철원,Feb-23,-0.9,68,0,1,3.2,0.7
95,철원,Mar-23,6.7,58,12.5,1.2,3.6,7.4
95,철원,Apr-23,11.7,64,97.5,1.6,5,13.3
95,철원,May-23,17.4,67,161.9,1.5,5.2,20.3
95,철원,Jun-23,21.7,78,220.4,1.3,5.4,25.9
95,철원,Jul-23,25.4,86,383.4,1.3,6.4,28.9
95,철원,Aug-23,25.1,85,241.6,1.5,6.8,28.3
95,철원,Sep-23,21.3,84,102.9,1.2,6.2,23.6
95,철원,Oct-23,12.4,79,30.5,0.9,4.1,14.2
95,철원,Nov-23,4.3,73,104.9,1.3,3.7,5.5
95,철원,Dec-23,-1.9,79,69.4,1.4,4.5,0
95,철원,Jan-24,-3.3,74,7.2,1.2,3.4,-1.2
95,철원,Feb-24,1.2,78,48.2,1.5,5.9,1.7
95,철원,Mar-24,4.4,63,42.4,1.6,4.4,5.9
95,철원,Apr-24,14.2,63,17.9,1.7,4.5,15.8
95,철원,May-24,16.6,71,156.5,1.5,4,20.2
95,철원,Jun-24,22.7,69,98.1,1.3,4,28.4
95,철원,Jul-24,25.3,87,759.5,1.7,7.2,27
95,철원,Aug-24,27.2,83,232.9,1.2,4.7,30.1
95,철원,Sep-24,22.6,83,179.2,1.5,5.8,25
95,철원,Oct-24,13.5,84,66.7,0.9,4.8,15.8
95,철원,Nov-24,6.5,76,29.8,0.9,4.3,7.3
95,철원,Dec-24,-3.1,67,7.3,1,3,-1.1
95,철원,Jan-25,-4.5,73,11.2,0.9,4.8,-1
95,철원,Feb-25,-4.3,62,2,1.3,2.8,-1.6
95,철원,Mar-25,5.1,64,33,1.7,4.5,5.5
95,철원,Apr-25,11.5,66,128.1,1.5,4,13.8
95,철원,May-25,16,74,86.7,1.4,5.4,18.8
95,철원,Jun-25,22.3,76,198,1.4,5.7,26.2
95,철원,Jul-25,26.1,84,205.7,1.3,5.7,28.8
95,철원,Aug-25,26.3,85,430.9,1.1,6.2,29.1
95,철원,Sep-25,21.2,86,269.6,1.1,6.2,23.6
95,철원,Oct-25,14.2,84,189.7,1.5,6.6,16.3
95,철원,Nov-25,5.6,72,16.7,,3.1,5.5
95,철원,Dec-25,-1.9,76,34.2,0.9,4.9,-0.7
95,철원,Jan-26,-7,64,9.1,1,4.2,-4.5
95,철원,Feb-26,-0.3,64,4,1.2,3.9,-0.5
95,철원,Mar-26,5.4,65,29.4,1.4,4.1,6.1
95,철원,Apr-26,12.8,59,47.3,1.5,4.2,14.6
95,철원,May-26,,,22.5,,,
98,동두천,May-22,17.4,60,16.4,1.6,4.3,24.4
98,동두천,Jun-22,21.5,81,522.8,1.4,6.7,24.8
98,동두천,Jul-22,25.8,85,302.7,1,6.7,29.1
98,동두천,Aug-22,24.2,88,506.8,1.1,6.7,27.2
98,동두천,Sep-22,20,79,204.5,0.8,5.3,23.3
98,동두천,Oct-22,12.3,78,146.3,0.7,4.6,15.4
98,동두천,Nov-22,8,72,88.7,0.9,4.6,9.3
98,동두천,Dec-22,-4.9,64,12,0.9,4,-1.1
98,동두천,Jan-23,-3.7,70,49.8,0.8,3.7,-1.1
98,동두천,Feb-23,0.6,61,0.5,0.9,2.9,1.7
98,동두천,Mar-23,8.3,51,14.4,1.4,3.5,8.8
98,동두천,Apr-23,12.7,59,94.6,1.5,5.3,14.2
98,동두천,May-23,18,68,158.7,1.2,5.3,21.6
98,동두천,Jun-23,22,79,218.4,1.1,5.3,25.8
98,동두천,Jul-23,25.6,87,355.6,1.1,6.1,28.5
98,동두천,Aug-23,25.6,87,255.9,1,6.6,29.1
98,동두천,Sep-23,21.8,84,56.3,0.8,6.2,25
98,동두천,Oct-23,13.6,77,38.5,0.8,4.2,15.7
98,동두천,Nov-23,5.4,68,93.4,1.5,3.7,6.5
98,동두천,Dec-23,-0.5,72,76.6,1.3,4,0.4
98,동두천,Jan-24,-2.1,69,13.2,1.1,3.1,-1.2
98,동두천,Feb-24,2.4,76,58.2,1.1,5.8,2.7
98,동두천,Mar-24,5.7,57,38,1.6,3.9,6.6
98,동두천,Apr-24,15.2,59,22.2,1.3,4.5,17
98,동두천,May-24,17.2,73,140.6,1.3,3.8,21.3
98,동두천,Jun-24,23,71,96.7,1.1,3.8,30.4
98,동두천,Jul-24,25.6,91,378.2,1.5,6.9,27.6
98,동두천,Aug-24,27.6,87,146.5,0.9,4.6,31
98,동두천,Sep-24,23.4,86,178,0.8,5.6,26.2
98,동두천,Oct-24,14.4,84,57.2,0.7,4.7,16.5
98,동두천,Nov-24,7.9,70,34.2,1,4.2,8
98,동두천,Dec-24,-1.4,65,7.6,1.1,2.8,-1
98,동두천,Jan-25,-2.8,71,19.1,1.1,4,-1.2
98,동두천,Feb-25,-2.8,62,3.5,1.5,2.2,-1.1
98,동두천,Mar-25,6.5,62,37.7,1.6,4.4,6.9
98,동두천,Apr-25,12.3,66,128.5,1.7,3.9,14.1
98,동두천,May-25,16.5,75,104,1.2,5.1,19.7
98,동두천,Jun-25,22.5,77,203.4,1.1,5.7,27.8
98,동두천,Jul-25,26.7,84,259.4,0.9,5.5,31.3
98,동두천,Aug-25,26.5,88,354.7,1,6.1,29.6
98,동두천,Sep-25,21.5,88,279.8,0.7,6.3,24.3
98,동두천,Oct-25,14.9,81,187,0.7,6.5,16.6
98,동두천,Nov-25,6.9,63,21.9,1.1,2.8,7
98,동두천,Dec-25,-0.7,65,41.5,1,4.1,0.6
98,동두천,Jan-26,-5.3,53,6.6,1.4,3.3,-3.1
98,동두천,Feb-26,1,55,3.4,1.3,3.5,0.7
98,동두천,Mar-26,6.8,55,41.4,1.1,4,7.3
98,동두천,Apr-26,13.8,52,30.8,1.3,4.2,16.6
98,동두천,May-26,,,22.1,,,
99,파주,May-22,16.4,69,12.7,1.5,4.2,23.4
99,파주,Jun-22,21.2,84,509.9,1.6,6.7,25.4
99,파주,Jul-22,25.4,89,290.2,1.2,6.7,28.6
99,파주,Aug-22,24.1,90,353.5,1.3,6.5,26.9
99,파주,Sep-22,19.5,84,152.4,1.1,5.4,22.8
99,파주,Oct-22,11.6,82,181.6,0.9,4.4,14.7
99,파주,Nov-22,7.1,78,89.2,0.9,4.8,8.9
99,파주,Dec-22,-5.8,70,8.4,0.9,3.2,-1.4
99,파주,Jan-23,-4.5,73,42.9,1,3.4,-2
99,파주,Feb-23,-0.4,68,1,1.1,3.4,0.9
99,파주,Mar-23,6.8,62,14.7,1.5,3.7,7.7
99,파주,Apr-23,11.8,68,102.3,1.7,5.2,13.6
99,파주,May-23,17.2,76,139.2,1.4,5.2,20.3
99,파주,Jun-23,21.5,85,212,1.1,5.3,24.8
99,파주,Jul-23,25.2,91,441,1.2,6.2,27.7
99,파주,Aug-23,25.2,90,247.8,1.2,6.5,27.9
99,파주,Sep-23,21.6,88,43.1,1.2,6.1,24.1
99,파주,Oct-23,12.9,83,46.5,1,4.1,15.5
99,파주,Nov-23,4.7,75,75.5,1.6,3.7,6.3
99,파주,Dec-23,-1.1,77,72,1.5,4.1,0.6
99,파주,Jan-24,-2.9,75,12.1,1.2,3.1,-1.1
99,파주,Feb-24,1.6,80,71.9,1.5,5.8,2.3
99,파주,Mar-24,4.7,66,20.4,1.9,3.8,7.2
99,파주,Apr-24,14,69,23.3,1.5,4.4,16.4
99,파주,May-24,16.3,79,130.7,1.4,4,20.4
99,파주,Jun-24,22.2,77,56.7,1.2,3.4,27.7
99,파주,Jul-24,25.3,91,871,1.5,6.8,27.8
99,파주,Aug-24,27.4,87,92.1,1.1,4.4,31
99,파주,Sep-24,23,86,114.2,1.3,5.6,26.6
99,파주,Oct-24,13.8,85,52.4,1,4.7,17.2
99,파주,Nov-24,7,75,22.3,1.1,4,9.2
99,파주,Dec-24,-2.7,70,5.5,1,2.9,0.2
99,파주,Jan-25,-3.9,73,20.2,1.1,3.9,-0.6
99,파주,Feb-25,-4,64,2.9,1.6,2.5,0.3
99,파주,Mar-25,5.3,68,35.3,1.8,4.5,8
99,파주,Apr-25,11,74,140.5,1.6,3.9,14
99,파주,May-25,15.7,81,98.2,1.4,4.8,19.5
99,파주,Jun-25,21.8,83,159.7,1.2,5.6,27.2
99,파주,Jul-25,26.2,89,262.6,1.2,5.4,30
99,파주,Aug-25,26.3,90,379.3,1.1,5.9,29.8
99,파주,Sep-25,21.2,89,270.5,1.1,6.2,25.2
99,파주,Oct-25,14.2,84,197.3,1.3,6.5,17
99,파주,Nov-25,5.8,72,15.9,1.1,2.7,7.2
99,파주,Dec-25,-1.6,71,38.5,1.1,3.8,0.7
99,파주,Jan-26,-6.3,59,6.5,1.3,3.2,-2.2
99,파주,Feb-26,-0.2,62,2,1.3,3.5,0.5
99,파주,Mar-26,5.4,65,32.1,1.3,4.1,7.6
99,파주,Apr-26,12.5,62,29.3,1.5,4.1,16.4
99,파주,May-26,,,16.2,,,
100,대관령,May-22,13.4,59,9.3,3.7,4.4,17.4
100,대관령,Jun-22,17.2,83,245.2,3.2,6.6,20.7
100,대관령,Jul-22,21.3,85,173.3,1.9,7.1,25.1
100,대관령,Aug-22,20.6,87,415.6,2.8,7.4,23.1
100,대관령,Sep-22,15.2,85,206.5,2,6,18.1
100,대관령,Oct-22,8.2,83,145.4,2,5.8,11
100,대관령,Nov-22,4.5,66,40,2.5,4.2,4.6
100,대관령,Dec-22,-7.8,57,2.3,4.4,3.4,-4.8
100,대관령,Jan-23,-6.3,60,27,3.5,3.7,-3.9
100,대관령,Feb-23,-3.2,65,3.5,2.7,4.3,-1.8
100,대관령,Mar-23,4.4,59,17.8,3.1,3.9,3.7
100,대관령,Apr-23,8.1,65,54.5,4,4.9,10.2
100,대관령,May-23,13.5,71,92.5,2.6,5.8,17.6
100,대관령,Jun-23,17.9,81,194.3,2.7,5.8,22.5
100,대관령,Jul-23,21.9,87,181.9,2.6,6.8,25.3
100,대관령,Aug-23,21.4,88,303.8,2.1,7,25.2
100,대관령,Sep-23,17,89,190.2,1.7,6.4,20.4
100,대관령,Oct-23,9,79,31.2,2.1,4.1,11
100,대관령,Nov-23,2.7,65,39.9,4.6,3.4,3.1
100,대관령,Dec-23,-4.1,75,155.2,3.8,4.1,-2
100,대관령,Jan-24,-5.7,73,16.8,3.7,3.6,-2.1
100,대관령,Feb-24,-2.9,86,119.6,2.6,6.7,-0.8
100,대관령,Mar-24,0.4,65,52.7,3.5,4.5,0.2
100,대관령,Apr-24,9.6,70,53.9,2.4,4.9,11.2
100,대관령,May-24,13.2,66,64.9,3.1,4.4,16.8
100,대관령,Jun-24,18.6,72,110.9,2.2,4.4,23.5
100,대관령,Jul-24,22,86,211.6,3.9,7.1,23.2
100,대관령,Aug-24,22.8,85,95.2,2.1,4.8,27
100,대관령,Sep-24,18.5,90,249,1.8,6.8,21.1
100,대관령,Oct-24,10.2,87,163.6,1.7,5.9,12
100,대관령,Nov-24,4.1,82,29.3,2.6,4.9,5.5
100,대관령,Dec-24,-4.3,61,2.2,4.5,2.9,-2.6
100,대관령,Jan-25,-6.5,71,15.6,3.9,4.4,-3.7
100,대관령,Feb-25,-6.6,58,0.4,4.5,2.7,-3.8
100,대관령,Mar-25,1.4,69,115.5,3.4,5,1.1
100,대관령,Apr-25,8.7,62,47.9,3.8,4.2,9.7
100,대관령,May-25,11.9,75,83.2,3.1,5.2,14.2
100,대관령,Jun-25,19.3,75,74.2,2.9,5.8,22.3
100,대관령,Jul-25,22.4,85,147.6,2.5,5.8,26.5
100,대관령,Aug-25,22.7,85,52.2,2.5,5.8,26.4
100,대관령,Sep-25,17.2,89,259.3,1.9,7,20.2
100,대관령,Oct-25,10.8,90,277.5,1.8,7.7,12.7
100,대관령,Nov-25,3.2,70,16.7,3.5,2.7,3
100,대관령,Dec-25,-2.7,68,14.9,4.2,3.6,-1.9
100,대관령,Jan-26,-7.8,57,7.4,4.6,3.4,-5.7
100,대관령,Feb-26,-2.3,65,5.3,4,3.8,-1.7
100,대관령,Mar-26,1.1,75,97.2,1.8,4.6,1.3
100,대관령,Apr-26,9.2,61,51.6,3.2,4.6,10.8
100,대관령,May-26,,,28.2,,,
101,춘천,May-22,18.1,57,10.9,1.7,,22
101,춘천,Jun-22,22.6,74,402.5,1.7,,24.8
101,춘천,Jul-22,26.6,84,208.2,1.3,6.8,29.3
101,춘천,Aug-22,25.2,87,491.7,1.2,7.2,27.7
101,춘천,Sep-22,20.5,81,256.7,1.5,6,23.3
101,춘천,Oct-22,12.7,80,137.3,1.1,5.5,14.5
101,춘천,Nov-22,7.5,74,69.5,0.9,4.3,7.7
101,춘천,Dec-22,-4.9,67,10.7,1.2,4,-2.4
101,춘천,Jan-23,-4.1,71,52.3,1.2,3.8,-2.6
101,춘천,Feb-23,0.3,62,1.1,1.3,3.5,0.6
101,춘천,Mar-23,8,51,9.3,1.5,3.4,8.6
101,춘천,Apr-23,12.5,58,90.6,1.8,5.1,14.5
101,춘천,May-23,18,62,115.6,1.6,5.3,22
101,춘천,Jun-23,22.5,70,263.2,1.6,5.6,27.3
101,춘천,Jul-23,25.9,79,313.5,1.3,6.3,29.5
101,춘천,Aug-23,26,77,215.2,1.6,6.7,31.2
101,춘천,Sep-23,21.9,78,122.8,1.5,6.3,24.9
101,춘천,Oct-23,12.9,78,28.2,1.1,4.9,14.5
101,춘천,Nov-23,5.2,66,86.2,1.5,3.6,5.6
101,춘천,Dec-23,-0.8,72,91.8,1.4,4.3,-0.3
101,춘천,Jan-24,-2.1,68,9.3,1.3,3.5,-1.5
101,춘천,Feb-24,2.1,72,54.3,1.5,6.3,1.7
101,춘천,Mar-24,5.5,57,44.3,1.6,4.3,6.3
101,춘천,Apr-24,15,57,31.4,1.7,4.6,16.8
101,춘천,May-24,17.4,63,117.8,1.6,4.1,21.3
101,춘천,Jun-24,23.5,63,141.8,1.4,4,28.8
101,춘천,Jul-24,25.8,79,439.9,1.3,7.2,28.3
101,춘천,Aug-24,28,75,76.4,0.9,4.3,32
101,춘천,Sep-24,23.3,78,207.4,1.4,6,26.5
101,춘천,Oct-24,14.5,79,64.9,1.2,5.6,16.7
101,춘천,Nov-24,7.6,71,29.7,1.1,4.2,8.1
101,춘천,Dec-24,-1.6,62,2.4,1.2,2.7,-1.5
101,춘천,Jan-25,-3.4,71,17.8,1.2,4.2,-2.1
101,춘천,Feb-25,-2.7,56,1.7,1.7,2,-0.9
101,춘천,Mar-25,6.3,59,33.7,1.8,4.8,5.8
101,춘천,Apr-25,12.6,59,81.3,1.4,3.9,14.7
101,춘천,May-25,16.4,70,85,1.1,5.3,19.5
101,춘천,Jun-25,23.3,72,121.4,1.4,5.7,27.8
101,춘천,Jul-25,27,76,286,1.5,5.6,31.3
101,춘천,Aug-25,26.8,79,252.9,1.3,6.1,29.9
101,춘천,Sep-25,21.6,81,381.4,1.3,6.6,23.9
101,춘천,Oct-25,15.2,80,158.3,1.5,6.7,16.8
101,춘천,Nov-25,6.3,70,18.7,1.1,3.1,5.8
101,춘천,Dec-25,-0.9,71,30.1,1.2,4.6,-0.7
101,춘천,Jan-26,-5.4,60,12.2,1.5,3,-3.7
101,춘천,Feb-26,0.5,61,2.4,1.5,3.2,0.1
101,춘천,Mar-26,6.5,61,40.5,1.5,3.9,7.1
101,춘천,Apr-26,13.7,57,47.9,1.7,4.4,16.3
101,춘천,May-26,,,21.5,,,
102,백령도,May-22,14.3,74,5.1,4,4.9,22.2
102,백령도,Jun-22,19.3,86,219.8,3.7,8,24.1
102,백령도,Jul-22,23.7,88,255,3,6.7,28
102,백령도,Aug-22,23.6,85,155.9,3.2,6,26.8
102,백령도,Sep-22,20.2,79,145.8,3.3,4.5,23.2
102,백령도,Oct-22,13.8,68,82.9,4.6,4.5,15
102,백령도,Nov-22,10.3,68,40.9,4.5,5.3,9.8
102,백령도,Dec-22,0.1,65,25.1,5.8,6.2,0.1
102,백령도,Jan-23,-0.1,69,37.7,5.5,4.8,0.1
102,백령도,Feb-23,1.9,67,1.6,4.4,3.8,2.8
102,백령도,Mar-23,6,74,2.4,4.6,5.3,9.4
102,백령도,Apr-23,10.5,66,52.4,4.3,5.1,14.1
102,백령도,May-23,15.1,76,136.7,3.7,6,20.3
102,백령도,Jun-23,19.5,85,95.7,3.2,5.8,25.1
102,백령도,Jul-23,23.9,89,141.9,3.2,6.8,28.7
102,백령도,Aug-23,24.6,86,249.1,2.7,5.6,29.3
102,백령도,Sep-23,21.9,81,18.1,2.3,5.6,25.2
102,백령도,Oct-23,16.5,70,19.9,4,4,18.1
102,백령도,Nov-23,7.9,66,107.7,5.9,6.6,7.6
102,백령도,Dec-23,2.2,74,74.8,4.9,6.7,2.1
102,백령도,Jan-24,0.7,67,15.2,4.9,5.3,0
102,백령도,Feb-24,2.4,71,53.3,4.8,5.5,2.6
102,백령도,Mar-24,5.6,64,28.5,4.6,4,7.4
102,백령도,Apr-24,11.6,72,70.7,3.3,4.9,15.6
102,백령도,May-24,14.9,77,64.1,3.5,4.8,20.4
102,백령도,Jun-24,20.4,78,45.6,2.8,4.7,28.1
102,백령도,Jul-24,23.4,91,178.3,4.1,7.7,26.1
102,백령도,Aug-24,26.3,85,130.8,2.6,5,30
102,백령도,Sep-24,23,82,77.5,2.7,5.1,25.9
102,백령도,Oct-24,16.3,70,113.8,3.6,4.4,16.4
102,백령도,Nov-24,10.7,61,67.1,4.7,4.9,9.6
102,백령도,Dec-24,3.2,,13,5.6,5.8,3.1
102,백령도,Jan-25,1.1,,16,4.9,5.2,1.2
102,백령도,Feb-25,-0.1,,14.2,6.2,4.5,0.4
102,백령도,Mar-25,5.5,63,15.3,4.7,4.5,7.9
102,백령도,Apr-25,9.4,74,80.6,4.2,4.1,13.2
102,백령도,May-25,13.6,77,83.5,3.6,5.8,17.6
102,백령도,Jun-25,19.5,80,101.7,3.2,6.1,23
102,백령도,Jul-25,24.5,83,94.5,2.7,6.3,30.2
102,백령도,Aug-25,25.5,85,130,2.8,6.9,29.1
102,백령도,Sep-25,22.2,79,191.7,2.9,5.8,23.8
102,백령도,Oct-25,15.9,72,178.6,4.2,6.3,15.5
102,백령도,Nov-25,10.2,64,4.6,3.6,3.7,8.6
102,백령도,Dec-25,3.2,62,38.2,4,5.8,2
102,백령도,Jan-26,-1.8,59,0.7,4.8,5,-2.2
102,백령도,Feb-26,2,66,1.6,3.8,4,2.6
102,백령도,Mar-26,5.3,68,10.3,2.8,4.8,8.2
102,백령도,Apr-26,10.8,67,14,3.1,4.5,15.7
102,백령도,May-26,,,2.9,,,
104,북강릉,May-22,18.5,52,6.5,1.5,3.9,22.6
104,북강릉,Jun-22,21.2,76,168.4,1.2,6.4,25
104,북강릉,Jul-22,24.1,88,239.4,0.8,7.6,28.2
104,북강릉,Aug-22,24.3,82,303.3,1,7.1,26.9
104,북강릉,Sep-22,20,78,235.9,1.1,5.6,22.4
104,북강릉,Oct-22,13.8,73,347.7,1.3,5.8,14.3
104,북강릉,Nov-22,11.2,57,53.4,1.3,3.7,9.3
104,북강릉,Dec-22,0.6,39,0,1.8,2.4,-1.1
104,북강릉,Jan-23,1.1,45,97.3,1.6,3,-0.6
104,북강릉,Feb-23,3.5,54,50.4,1.5,4.2,1.8
104,북강릉,Mar-23,9.9,52,9.3,1.5,3.9,10
104,북강릉,Apr-23,13.3,57,32.7,1.8,4.5,15.1
104,북강릉,May-23,17.9,64,91.4,1.3,5.8,22.3
104,북강릉,Jun-23,22,73,171.3,1.2,5.5,26.3
104,북강릉,Jul-23,25.6,79,109.1,1.1,6.5,28.2
104,북강릉,Aug-23,24.7,85,502.9,1,7.2,28.1
104,북강릉,Sep-23,21.1,84,240.1,0.8,6.3,23.4
104,북강릉,Oct-23,15.7,62,21.3,1.2,3.7,15.2
104,북강릉,Nov-23,9.3,49,59.9,1.8,3,7.2
104,북강릉,Dec-23,2.8,57,248.4,1.6,3.6,1.1
104,북강릉,Jan-24,1.4,55,31.3,1.4,3.1,0.4
104,북강릉,Feb-24,3,76,165.6,1.1,6.5,1.6
104,북강릉,Mar-24,6.3,59,66.6,1.5,4.2,6.6
104,북강릉,Apr-24,14.5,62,38.7,1.3,4.6,16.3
104,북강릉,May-24,18.3,59,84.6,1.5,4.2,21.8
104,북강릉,Jun-24,22.3,71,89.1,1,4.6,28.1
104,북강릉,Jul-24,26.5,76,116.6,1.3,7.2,27.9
104,북강릉,Aug-24,26.9,80,77.4,1,4.3,32.7
104,북강릉,Sep-24,21.9,86,546.3,0.9,6.9,24.1
104,북강릉,Oct-24,15.7,77,163.1,0.9,5.6,16.1
104,북강릉,Nov-24,10.7,65,54.7,1.2,4.6,9.4
